method,stratum,n_origins,rows,picp_weighted,picp_ci_lo,picp_ci_hi,unsafe_ci_lo,unsafe_ci_hi,unsafe_weighted,mpiw_weighted,winkler_weighted,expected_shortfall_weighted,n_unsafe_total,picp_mean_unweighted,picp_sd_unweighted,n_origins_under_20_rows,largest_origin,largest_origin_share,picp_loo_min,picp_loo_max,most_influential_origin,picp_without_that_origin,picp_shift_if_dropped
group_conditional_cp,ALL,16.0,7844.0,0.8806731259561448,0.838028,0.918858,0.028871,0.10766,0.06221315655277917,3.482130590059255,4.905050275114761,0.05092734102476612,488.0,0.8811570977699663,0.08469050151192745,0.0,2010.0,0.06833248342682305,0.875,0.895145895827652,2012,0.895145895827652,0.014472769871507252
group_conditional_cp,Extreme,13.0,1134.0,0.8227513227513228,0.702088,0.958667,0.033986,0.289481,0.17019400352733682,5.102222731135607,8.80016151890262,0.1824221240276109,193.0,0.8917287371575028,0.11136521361551009,4.0,2012.0,0.3950617283950617,0.788826815642458,0.9387755102040817,2012,0.9387755102040817,0.11602418745275889
group_conditional_cp,Moderate,16.0,933.0,0.9142550911039657,0.841321,0.960757,0.013307,0.049933,0.028938906752411567,3.5220130033693415,4.447898913057203,0.016819609641534294,27.0,0.8828133702199703,0.14477516412805358,5.0,2022.0,0.1714898177920686,0.8990944372574385,0.9355216881594373,2018,0.9355216881594373,0.021266597055471514
group_conditional_cp,Normal,16.0,5777.0,0.8866193526051583,0.852111,0.919095,0.021574,0.079043,0.04639086030811836,3.1576724319150813,4.214287953900337,0.030623970669102177,268.0,0.8930547652746117,0.06286189043933525,0.0,2008.0,0.08949281634066124,0.88,0.8990494296577947,2008,0.8990494296577947,0.012430077052636324
rolling_static_cp,ALL,16.0,7844.0,0.8853901070882203,0.83674,0.929661,0.028641,0.118815,0.06616522182559915,3.625745091072554,5.181458908873767,0.0599814937667354,519.0,0.8856300723506809,0.09673902630372705,0.0,2010.0,0.06833248342682305,0.877859477124183,0.9025088628306518,2012,0.9025088628306518,0.01711875574243149
rolling_static_cp,Extreme,13.0,1134.0,0.7583774250440917,0.651482,0.911507,0.07272,0.340079,0.2310405643738977,4.065977470711046,9.288043170502192,0.25723347203824826,262.0,0.8404028364114288,0.14269604419037613,4.0,2012.0,0.3950617283950617,0.7269076305220884,0.8629737609329446,2012,0.8629737609329446,0.10459633588885298
rolling_static_cp,Moderate,16.0,933.0,0.9142550911039657,0.832406,0.975002,0.010176,0.071432,0.03644158628081457,3.6013429222195663,4.616992024515859,0.02513269033110513,34.0,0.9217503240776002,0.10164591723288183,5.0,2022.0,0.1714898177920686,0.8974358974358975,0.9376528117359413,2021,0.9376528117359413,0.023397720631975538
rolling_static_cp,Normal,16.0,5777.0,0.9056603773584906,0.86738,0.943982,0.013566,0.072063,0.038601350181755194,3.543270399196111,4.466517079276969,0.026889956679241444,223.0,0.9148473169470527,0.06974334930528923,0.0,2008.0,0.08949281634066124,0.8977978543195935,0.9186311787072243,2008,0.9186311787072243,0.01297080134873374
sa_aci,ALL,16.0,7844.0,0.8847526772055074,0.837788,0.928178,0.029099,0.116019,0.06527281998980108,3.5768018639431567,5.094631979771061,0.05781768187225265,512.0,0.8850858591190065,0.09445887703406017,0.0,2010.0,0.06833248342682305,0.8773148148148148,0.9010089991818926,2012,0.9010089991818926,0.016256321976385157
sa_aci,Extreme,13.0,1134.0,0.7689594356261023,0.664299,0.915171,0.07142,0.327387,0.22134038800705466,4.144867434560286,9.013940553492233,0.2400633442698164,251.0,0.8456394277489616,0.14054231013550136,4.0,2012.0,0.3950617283950617,0.7389558232931727,0.8702623906705539,2012,0.8702623906705539,0.10130295504445164
sa_aci,Moderate,16.0,933.0,0.9153269024651661,0.836343,0.972904,0.012194,0.068727,0.03644158628081458,3.569108414957636,4.552665352314069,0.02453000100461953,34.0,0.9224287838673132,0.09941287248808668,5.0,2022.0,0.1714898177920686,0.9,0.936694021101993,2018,0.936694021101993,0.021367118636826832
sa_aci,Normal,16.0,5777.0,0.9025445733079454,0.863954,0.94104,0.014297,0.072648,0.03929375108187637,3.466535571892554,4.412817706068027,0.02741969417806269,227.0,0.9109268805059201,0.06992332818652552,0.0,2008.0,0.08949281634066124,0.8945981554677207,0.9159695817490494,2008,0.9159695817490494,0.013425008441104058
standard_aci,ALL,16.0,7844.0,0.8853901070882203,0.83674,0.929661,0.028641,0.118815,0.06616522182559915,3.625745091072554,5.181458908873767,0.0599814937667354,519.0,0.8856300723506809,0.09673902630372705,0.0,2010.0,0.06833248342682305,0.877859477124183,0.9025088628306518,2012,0.9025088628306518,0.01711875574243149
standard_aci,Extreme,13.0,1134.0,0.7583774250440917,0.651482,0.911507,0.07272,0.340079,0.2310405643738977,4.065977470711046,9.288043170502192,0.25723347203824826,262.0,0.8404028364114288,0.14269604419037613,4.0,2012.0,0.3950617283950617,0.7269076305220884,0.8629737609329446,2012,0.8629737609329446,0.10459633588885298
standard_aci,Moderate,16.0,933.0,0.9142550911039657,0.832406,0.975002,0.010176,0.071432,0.03644158628081457,3.6013429222195663,4.616992024515859,0.02513269033110513,34.0,0.9217503240776002,0.10164591723288183,5.0,2022.0,0.1714898177920686,0.8974358974358975,0.9376528117359413,2021,0.9376528117359413,0.023397720631975538
standard_aci,Normal,16.0,5777.0,0.9056603773584906,0.86738,0.943982,0.013566,0.072063,0.038601350181755194,3.543270399196111,4.466517079276969,0.026889956679241444,223.0,0.9148473169470527,0.06974334930528923,0.0,2008.0,0.08949281634066124,0.8977978543195935,0.9186311787072243,2008,0.9186311787072243,0.01297080134873374
